2026-04-06 00:57:10.218 | ERROR    | __main__:test_case_generation:46 | ❌ 案件生成失败: '"case_id"'
2026-04-06 01:13:09.288 | ERROR    | __main__:test_case_generation:46 | ❌ 案件生成失败: '"case_id"'
2026-04-06 01:27:38.358 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 01:27:38.358 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 案件生成失败: create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 01:29:26.719 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 01:29:26.719 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 案件生成失败: create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 01:29:26.762 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 01:29:26.762 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 案件生成失败: create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 01:29:37.038 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 01:29:37.039 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 案件生成失败: create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 01:29:37.043 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 01:29:37.046 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 案件生成失败: create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 01:34:43.893 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 01:34:43.894 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 案件生成失败: create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 01:51:41.245 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 01:51:41.246 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 案件生成失败: create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 01:51:41.306 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 01:51:41.306 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 案件生成失败: create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 14:50:02.622 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: AsyncCompletions.create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 14:50:02.622 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 案件生成失败: AsyncCompletions.create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 14:50:02.641 | ERROR    | app.agents.case_generator_agent:generate_case:100 | 案件生成失败: AsyncCompletions.create() got an unexpected keyword argument 'disable_thinking'
2026-04-06 14:50:02.641 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 案件生成失败: AsyncCompletions.create() got an unexpected keyword argument 'disable_thinking', 路径: /api/v1/game/new, 方法: POST
2026-04-06 14:54:57.872 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/status, 方法: GET
2026-04-06 14:54:58.074 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/investigate, 方法: POST
2026-04-06 14:54:58.233 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/decrypt, 方法: POST
2026-04-06 14:54:58.397 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/accuse, 方法: POST
2026-04-06 14:54:58.557 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/clues, 方法: GET
2026-04-06 14:54:58.724 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/send, 方法: POST
2026-04-06 14:54:58.850 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/mode, 方法: POST
2026-04-06 14:54:59.008 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/command, 方法: POST
2026-04-06 14:54:59.170 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/history, 方法: GET
2026-04-06 15:07:14.140 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/status, 方法: GET
2026-04-06 15:07:14.343 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/investigate, 方法: POST
2026-04-06 15:07:14.500 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/decrypt, 方法: POST
2026-04-06 15:07:14.665 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/accuse, 方法: POST
2026-04-06 15:07:14.835 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/clues, 方法: GET
2026-04-06 15:07:15.004 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/send, 方法: POST
2026-04-06 15:07:15.132 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/mode, 方法: POST
2026-04-06 15:07:15.294 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/command, 方法: POST
2026-04-06 15:07:15.458 | ERROR    | main:app_base_exception_handler:65 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/history, 方法: GET
2026-04-06 15:07:39.773 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/status, 方法: GET
2026-04-06 15:07:39.843 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/investigate, 方法: POST
2026-04-06 15:07:39.846 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/decrypt, 方法: POST
2026-04-06 15:07:39.850 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/accuse, 方法: POST
2026-04-06 15:07:39.853 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/game/nonexistent_session/clues, 方法: GET
2026-04-06 15:07:39.856 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/send, 方法: POST
2026-04-06 15:07:39.859 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/mode, 方法: POST
2026-04-06 15:07:39.862 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/command, 方法: POST
2026-04-06 15:07:39.865 | ERROR    | main:app_base_exception_handler:66 | 请求异常: 游戏会话不存在, 路径: /api/v1/agent/nonexistent_session/history, 方法: GET
